clustering coefficient,degree
0.016910436,1050
0.007327567,989
0.014415416,771
0.007877268,766
0.016219482,744
0.025160766,709
0.009203593,681
0.011007134,652
0.0215548,638
0.011235897,622
0.028541181,609
0.011743356,585
0.023375618,580
0.040159923,579
0.005510037,579
0.033821302,567
0.006569901,561
0.01762511,538
0.007857227,538
0.010978851,510
0.015274348,508
0.021761089,498
0.006482539,492
0.012710192,478
0.003458647,476
0.007982068,469
0.016846941,468
0.012666227,461
0.015228871,454
0.022571015,439
0.008220774,435
0.010086569,422
0.022859405,421
0.026505112,418
0.032130326,400
0.011328321,400
0.032178436,399
0.060273622,396
0.020499039,393
0.043842472,384
0.009022186,383
0.028567482,381
0.004020606,379
0.011901253,378
0.012487276,374
0.065496267,373
0.047363718,373
0.022681338,366
0.031241497,354
0.028779294,353
0.020380083,352
0.023182743,351
0.015816369,346
0.005813352,341
0.024230506,338
0.005192878,337
0.029742317,334
0.017478556,334
0.021953676,331
0.012515337,326
0.015859449,325
0.014472934,325
0.049843278,323
0.018493326,319
0.010930279,316
0.026307548,310
0.011978313,309
0.0202761,305
0.055123305,297
0.007604214,296
0.024190015,295
0.025514287,292
0.016186752,291
0.006801754,291
0.006156783,290
0.078479431,289
0.010802352,282
0.025507246,276
0.010566535,276
0.005902503,276
0.025106281,274
0.039214042,268
0.009968742,267
0.079406861,262
0.010963749,261
0.03994654,260
0.008434808,260
0.019843764,259
0.025065605,258
0.018566176,256
0.029832486,253
0.056504142,252
0.068653386,251
0.074056225,250
0.030512491,247
0.015075211,247
0.03919031,246
0.006039489,246
0.068002429,244
0.012278216,244
0.042206578,243
0.076574877,242
0.028394088,242
0.008470217,242
0.07351314,241
0.032531381,240
0.020604058,239
0.041550454,237
0.044175983,236
0.007428777,236
0.027712002,233
0.030947408,230
0.035394162,229
0.002834597,229
0.034618533,227
0.16031746,225
0.017896825,225
0.032911595,224
0.033127298,223
0.040520158,222
0.06305521,220
0.055214983,218
0.025958652,218
0.016446117,218
0.002432156,217
0.035228252,216
0.017312661,216
0.018691589,215
0.020139529,214
0.009965453,213
0.040105517,212
0.018152553,212
0.013676371,211
0.008891898,211
0.051036683,210
0.084448161,208
0.063177836,206
0.028984135,206
0.080266589,204
0.019167927,203
0.020497512,201
0.008109453,201
0.073517588,200
0.035427136,200
0.033165829,200
0.030353789,199
0.024355227,198
0.044442142,197
0.013674505,197
0.036161776,195
0.016238449,194
0.018944301,193
0.005289292,193
0.192681065,192
0.020397033,192
0.105593828,191
0.117850181,190
0.03625731,190
0.010637705,190
0.095744681,189
0.064448947,189
0.028650231,189
0.083376459,187
0.042378242,187
0.025817952,187
0.034641093,186
0.031386225,186
0.068625147,185
0.023501763,185
0.036172488,184
0.028643488,183
0.015913049,183
0.038795459,182
0.011414,182
0.014241866,181
0.024456859,180
0.019366853,180
0.189818593,179
0.042621304,179
0.036783629,179
0.178823081,178
0.020544427,177
0.088961039,176
0.01487013,176
0.014350649,176
0.023579639,175
0.037804797,174
0.010696964,174
0.007640688,174
0.004385091,174
0.173275978,173
0.053569028,173
0.047385401,173
0.038042748,173
0.024129587,173
0.067217062,171
0.03254214,171
0.035294118,170
0.021232162,170
0.018596788,169
0.055317936,168
0.039064728,168
0.030011406,168
0.041699733,167
0.041411154,167
0.022437054,167
0.201971522,166
0.198977729,166
0.047900694,166
0.011902154,166
0.038285292,165
0.011825573,165
0.225422714,164
0.062621577,164
0.01586114,164
0.045088567,162
0.002147075,162
0.061645963,161
0.054347826,161
0.048602484,161
0.074606918,160
0.056132075,160
0.053021256,159
0.018151421,159
0.261791502,158
0.075304362,158
0.020801419,158
0.016367008,158
0.053078556,157
0.019941349,155
0.018852116,155
0.093795094,154
0.060436296,154
0.048298107,154
0.054867561,153
0.083914256,152
0.0236145,152
0.02039038,152
0.042295806,151
0.014569536,151
0.229977629,150
0.026210775,149
0.009341556,149
0.278911565,148
0.023618328,146
0.01408046,145
0.088480963,144
0.031759907,144
0.024087024,144
0.014471639,144
0.094257855,143
0.078597459,143
0.026691618,143
0.015364917,143
0.164319249,142
0.07639311,141
0.046707194,141
0.03299075,140
0.047023251,139
0.00802836,139
0.190627314,138
0.056066857,138
0.044853486,138
0.033111182,138
0.012588596,138
0.061936453,137
0.058605664,136
0.051851852,136
0.029297955,135
0.025981205,135
0.286499832,134
0.28369431,134
0.007518797,134
0.006845472,134
0.096832992,133
0.041922989,133
0.028935976,133
0.010366826,133
0.039902845,132
0.022322461,132
0.285731063,131
0.094304169,131
0.026306518,131
0.297555158,130
0.051520572,130
0.035539654,130
0.02862254,130
0.089995155,129
0.339689961,128
0.207308071,128
0.085752953,128
0.05671752,128
0.038877953,128
0.015255906,128
0.014025591,128
0.009227362,128
0.063992001,127
0.060992376,127
0.056367954,127
0.047619048,127
0.043869516,127
0.02312211,127
0.008873891,127
0.048380952,126
0.034920635,126
0.030349206,126
0.024634921,126
0.015238095,126
0.152129032,125
0.021419355,125
0.021111985,124
0.020849725,124
0.018489378,124
0.035985606,123
0.007996801,123
0.051754505,122
0.041728763,122
0.033735266,122
0.011380572,122
0.008399946,122
0.355371901,121
0.179752066,121
0.050137741,121
0.043112948,121
0.267507003,120
0.052380952,120
0.028431373,120
0.02745098,120
0.027170868,120
0.176328158,119
0.102691924,119
0.060390258,119
0.046289702,119
0.032758866,119
0.01894317,119
0.080110097,118
0.030711285,118
0.011878893,118
0.348806366,117
0.255673445,117
0.177718833,117
0.022988506,117
0.215742129,116
0.026986507,116
0.016041979,116
0.365217391,115
0.162166285,115
0.11914569,115
0.030968726,115
0.09439528,114
0.080732805,114
0.111725664,113
0.05562579,113
0.037926675,113
0.023388116,113
0.116634492,112
0.041827542,112
0.033301158,112
0.016570142,112
0.007561133,112
0.064864865,111
0.02964783,111
0.02031122,111
0.018673219,111
0.262885738,110
0.133110926,110
0.061551293,110
0.008173478,110
0.006338616,110
0.405368671,109
0.094801223,109
0.091913014,109
0.063540605,109
0.045361876,109
0.027862725,109
0.02514441,109
0.011043153,109
0.073208723,108
0.030460367,108
0.007095881,108
0.086051843,107
0.066302239,107
0.057838124,107
0.050255687,107
0.026979369,107
0.022570975,107
0.011814495,107
0.330098832,106
0.054447439,106
0.053548967,106
0.050314465,106
0.04492363,106
0.044384546,106
0.043665768,106
0.04294699,106
0.040610961,106
0.032345013,106
0.340659341,105
0.141208791,105
0.067765568,105
0.3534354,104
0.080283794,104
0.068707991,104
0.024645258,104
0.020164302,104
0.01867065,104
0.376737103,103
0.03083952,103
0.022272987,103
0.017323434,103
0.011993147,103
0.201125995,102
0.087361677,102
0.036109493,102
0.008930305,102
9.71E-04,102
0.137029703,101
0.050693069,101
0.046930693,101
0.037821782,101
0.078989899,100
0.047676768,100
0.015757576,100
0.012525253,100
0.066790353,99
0.04844362,99
0.037930324,99
0.019789734,99
0.00267986,99
0.39680202,98
0.134651799,98
0.089627604,98
0.062907637,98
0.02693036,98
0.018514622,98
0.016200295,98
0.015569114,98
0.014727541,98
0.01346518,98
0.067654639,97
0.060996564,97
0.044243986,97
0.044243986,97
0.01911512,97
0.013316151,97
0.013101375,97
0.010738832,97
0.108333333,96
0.084210526,96
0.068201754,96
0.067105263,96
0.064912281,96
0.064473684,96
0.039473684,96
0.01995614,96
0.007017544,96
0.336394177,95
0.110414334,95
0.101679731,95
0.014333707,95
0.132463967,94
0.093800046,94
0.078929307,94
0.05353466,94
0.047128803,94
0.046671242,94
