clustering coefficient,degree
0.006419574,129
0.005794582,118
0.022556391,57
0.01161103,53
0.007399577,44
0.024363234,43
0.048582996,39
0.038655462,35
0.007936508,28
0.011396011,27
0.09,25
0.103896104,22
0.029411765,17
0.05,16
0.238095238,15
0.028571429,15
0.065934066,14
0.128205128,13
0.076923077,13
0.196969697,12
0.03030303,12
0.015151515,12
0.090909091,11
0.054545455,11
0.018181818,11
0.111111111,10
0.022222222,10
0.222222222,9
0.111111111,9
0.027777778,9
0.214285714,8
0.035714286,8
0.380952381,7
0.19047619,7
0.285714286,7
0.238095238,7
0.476190476,7
0.466666667,6
0.2,6
0.533333333,6
0.266666667,6
0.133333333,6
0.333333333,6
0.6,5
0.4,5
0.2,5
0.3,5
0.5,4
0.666666667,4
0.166666667,4
1,3
0.333333333,3
0.666666667,3
1,2
